train/n_updates,train/ent_coef,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean
132998,0.002460464136675,-320.33111572265625,99,666,0.06455685943365097,150.0,444,66600,449.93660371000004
134198,0.0025443481281399727,-320.59124755859375,99,672,0.06597699970006943,150.0,448,67200,449.95283573
135398,0.0024958846624940634,-321.1562194824219,100,677,0.07160487025976181,150.0,452,67800,450.1977240100002
136598,0.0024390905164182186,-320.9787902832031,100,683,0.06176528334617615,150.0,456,68400,450.5250207400001
137798,0.0024329295847564936,-321.25604248046875,100,689,0.07198220491409302,150.0,460,69000,451.49313143
138998,0.002368301386013627,-321.4190673828125,100,695,0.06642380356788635,150.0,464,69600,452.12754294999996
140198,0.002371673472225666,-321.4832763671875,100,701,0.0583772175014019,150.0,468,70200,452.7732764699999
141398,0.0023678643628954887,-322.06988525390625,100,707,0.06399693340063095,150.0,472,70800,453.3686941200001
142598,0.0023479110095649958,-321.7514953613281,100,713,0.06806201487779617,150.0,476,71400,453.5734446100001
143798,0.002338975900784135,-322.06146240234375,100,719,0.05710927024483681,150.0,480,72000,453.39423966000004
144998,0.0023029299918562174,-322.048583984375,100,725,0.061213169246912,150.0,484,72600,453.7102879800001
146198,0.0023099256213754416,-321.9813232421875,100,731,0.0661499872803688,150.0,488,73200,454.62717537000003
147398,0.0023465666454285383,-321.97393798828125,100,737,0.06077636778354645,150.0,492,73800,454.95767269
148598,0.002369806170463562,-322.0982971191406,100,743,0.06132413074374199,150.0,496,74400,455.17718334000006
149798,0.0024644541554152966,-322.2765808105469,100,749,0.06200508400797844,150.0,500,75000,455.25633301999994
150998,0.002503053518012166,-322.3611145019531,100,755,0.06614325940608978,150.0,504,75600,455.70416353
152198,0.002481812844052911,-322.75079345703125,100,761,0.06574656069278717,150.0,508,76200,456.1594086999999
153398,0.002463736105710268,-322.860107421875,100,767,0.06628266721963882,150.0,512,76800,456.22801649999997
154598,0.002442788565531373,-323.44476318359375,100,773,0.07144106924533844,150.0,516,77400,456.70004747999997
155798,0.0025275747757405043,-323.71014404296875,100,779,0.07074757665395737,150.0,520,78000,456.68501404
156998,0.002512992825359106,-323.8926696777344,100,785,0.0709986537694931,150.0,524,78600,456.54835571999996
158198,0.0024343731347471476,-324.337890625,100,791,0.06677701324224472,150.0,528,79200,456.22511517000004
159398,0.002403624588623643,-324.76153564453125,100,797,0.07168121635913849,150.0,532,79800,456.5648491700001
160598,0.002347271889448166,-324.94000244140625,100,803,0.06827238947153091,150.0,536,80400,456.32655832999995
161798,0.002411917317658663,-325.09576416015625,100,809,0.06649130582809448,150.0,540,81000,455.85660515
