time/total_timesteps,train/safe_critic_loss,train/n_updates,train/actor_loss,time/episodes,rollout/ep_len_mean,rollout/ep_cost_mean,train/ent_coef,train/critic_loss,train/lag_coef,rollout/ep_rew_mean,time/fps,time/time_elapsed
56248,0.02438405528664589,112294,-2077.210205078125,356,158.0,19.6,0.010745144449174404,0.06916940957307816,5.0,-691.7036767000001,52,1079
56880,0.032358795404434204,113558,-2078.56640625,360,158.0,19.85,0.010730152018368244,0.07234489172697067,5.0,-691.7843968100001,52,1091
57512,0.028806030750274658,114822,-2082.576416015625,364,158.0,19.88,0.010679414495825768,0.07081279158592224,5.0,-692.7610812199999,52,1103
58144,0.026836929842829704,116086,-2084.615966796875,368,158.0,19.7,0.010591759346425533,0.07452096790075302,5.0,-693.6009672300002,52,1115
58776,0.028049299493432045,117350,-2086.8515625,372,158.0,19.64,0.010522482916712761,0.07481946796178818,5.0,-693.67123922,52,1127
59408,0.030349021777510643,118614,-2087.2236328125,376,158.0,19.62,0.010794938541948795,0.06944797933101654,5.0,-693.8854079199998,52,1139
60040,0.028620747849345207,119878,-2089.89453125,380,158.0,19.62,0.010662281885743141,0.07638463377952576,5.0,-694.1525124200001,52,1151
60672,0.027128610759973526,121142,-2090.4267578125,384,158.0,19.3,0.010603882372379303,0.06894092261791229,5.0,-694.8887206499999,52,1163
61304,0.030766619369387627,122406,-2092.44091796875,388,158.0,19.14,0.010575620457530022,0.06621149927377701,5.0,-695.6366220500001,52,1174
61936,0.03252415731549263,123670,-2094.277587890625,392,158.0,19.34,0.010690174996852875,0.06972654908895493,5.0,-697.1144180499999,52,1186
62568,0.024683792144060135,124934,-2095.595703125,396,158.0,19.36,0.010754709132015705,0.061346057802438736,5.0,-698.29351861,52,1199
63200,0.026478204876184464,126198,-2098.193359375,400,158.0,19.69,0.01073258277028799,0.06159475818276405,5.0,-699.0084710799998,52,1211
63832,0.02757944166660309,127462,-2099.46826171875,404,158.0,19.71,0.010927910916507244,0.0696377083659172,5.0,-699.15052715,52,1223
64464,0.030533235520124435,128726,-2099.85400390625,408,158.0,19.51,0.01109946146607399,0.08196024596691132,5.0,-699.41417587,52,1235
65096,0.029694393277168274,129990,-2103.430908203125,412,158.0,19.54,0.011076324619352818,0.07181934267282486,5.0,-699.43185542,52,1246
65728,0.02609219215810299,131254,-2104.195068359375,416,158.0,19.65,0.011157913133502007,0.07336541265249252,5.0,-699.8794553700001,52,1258
66360,0.030391721054911613,132518,-2105.71435546875,420,158.0,19.57,0.011197813786566257,0.07642210274934769,5.0,-700.46550815,52,1270
66992,0.02590733952820301,133782,-2106.7001953125,424,158.0,19.45,0.01109312754124403,0.07348541170358658,5.0,-700.0408503,52,1282
67624,0.025222929194569588,135046,-2107.670166015625,428,158.0,19.39,0.011042657308280468,0.07821644842624664,5.0,-700.0632976300002,52,1294
68256,0.02617994323372841,136310,-2109.6474609375,432,158.0,19.38,0.011115440167486668,0.07108551263809204,5.0,-700.19907456,52,1306
68888,0.029281839728355408,137574,-2110.836669921875,436,158.0,19.68,0.011071941815316677,0.07190275192260742,5.0,-700.58912573,52,1318
69520,0.024080120027065277,138838,-2111.72509765625,440,158.0,19.68,0.010992282070219517,0.06612836569547653,5.0,-701.1647782299999,52,1330
70152,0.028914855793118477,140102,-2114.59765625,444,158.0,19.54,0.011006904765963554,0.07085144519805908,5.0,-701.61416324,52,1342
70784,0.029870565980672836,141366,-2115.5400390625,448,158.0,19.69,0.010968395508825779,0.06503346562385559,5.0,-702.67476302,52,1354
71416,0.02774738147854805,142630,-2117.525634765625,452,158.0,19.79,0.010778550989925861,0.05984330177307129,5.0,-704.1042528400001,52,1366
72048,0.03247317299246788,143894,-2118.891357421875,456,158.0,19.84,0.010864160023629665,0.07664589583873749,5.0,-705.1411672999999,52,1378
72680,0.028237445279955864,145158,-2118.9775390625,460,158.0,19.83,0.010890352539718151,0.07085085660219193,5.0,-706.4750368199999,52,1390
73312,0.023830410093069077,146422,-2120.782958984375,464,158.0,19.9,0.010907045565545559,0.06244485825300217,5.0,-707.1326563399999,52,1402
73944,0.023753443732857704,147686,-2121.442626953125,468,158.0,20.19,0.010885665193200111,0.06823785603046417,5.0,-707.91849395,52,1414
74576,0.024977179244160652,148950,-2124.193359375,472,158.0,20.51,0.011348538100719452,0.08110613375902176,5.0,-709.0930535199998,52,1426
75208,0.025187745690345764,150214,-2125.051513671875,476,158.0,20.58,0.011281522922217846,0.06880199164152145,5.0,-709.4002927999999,52,1438
75840,0.02551416866481304,151478,-2127.990966796875,480,158.0,20.52,0.011102345772087574,0.06721585988998413,5.0,-709.68941693,52,1450
76472,0.02448822371661663,152742,-2129.020751953125,484,158.0,20.65,0.011283421888947487,0.061474237591028214,5.0,-710.2206942400001,52,1462
77104,0.02842775546014309,154006,-2130.463623046875,488,158.0,20.82,0.011382791213691235,0.06996408104896545,5.0,-710.28173019,52,1474
77736,0.03131667524576187,155270,-2132.27294921875,492,158.0,20.59,0.010997241362929344,0.06254373490810394,5.0,-710.48653674,52,1486
78368,0.02428572066128254,156534,-2132.92578125,496,158.0,20.4,0.010972988791763783,0.059135399758815765,5.0,-710.9955388100002,52,1498
79000,0.024707622826099396,157798,-2134.66748046875,500,158.0,20.27,0.011040561832487583,0.05810911953449249,5.0,-711.86337442,52,1510
79632,0.02290102280676365,159062,-2135.1884765625,504,158.0,20.13,0.011125249788165092,0.05395582690834999,5.0,-712.9416739899998,52,1521
80264,0.025944070890545845,160326,-2136.864501953125,508,158.0,20.15,0.01115791779011488,0.05991385504603386,5.0,-713.51062954,52,1533
80896,0.026879558339715004,161590,-2137.76318359375,512,158.0,20.13,0.01138494536280632,0.06037997081875801,5.0,-714.8334083000002,52,1545
81528,0.02343261055648327,162854,-2140.442138671875,516,158.0,20.15,0.011482203379273415,0.054040174931287766,5.0,-715.6740509499999,52,1557
82160,0.023481087759137154,164118,-2141.02685546875,520,158.0,20.28,0.011439564637839794,0.0577782541513443,5.0,-716.77419601,52,1569
82792,0.0234534852206707,165382,-2142.811767578125,524,158.0,20.47,0.01152016967535019,0.049776069819927216,5.0,-718.36281906,52,1581
