time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,train/critic_loss,train/actor_loss
365632,0.0010548916179686785,3809,1837.97232505,1530662,464,788.0,95,0.005618138704448938,-232.799560546875
368784,0.0010600712848827243,3840,1838.80527383,1536966,468,788.0,96,0.00725226104259491,-235.276123046875
371936,0.0010667144088074565,3871,1839.73687002,1543270,472,788.0,96,0.006341410800814629,-236.44186401367188
375088,0.0010572822066023946,3903,1840.77598899,1549574,476,788.0,96,0.005802174564450979,-234.51345825195312
378240,0.001064717653207481,3935,1841.5813645800001,1555878,480,788.0,96,0.005554969888180494,-232.48831176757812
381392,0.0010743032908067107,3966,1842.38698896,1562182,484,788.0,96,0.005928436294198036,-234.78533935546875
384544,0.0011054151691496372,3996,1842.7674854099998,1568486,488,788.0,96,0.009840678423643112,-234.74563598632812
387696,0.0010795199777930975,4027,1843.9559103100005,1574790,492,788.0,96,0.008477488532662392,-234.18797302246094
390848,0.0010659827385097742,4058,1845.29531477,1581094,496,788.0,96,0.0056530809961259365,-233.27308654785156
394000,0.0010532753076404333,4090,1846.09919967,1587398,500,788.0,96,0.005594812333583832,-235.58770751953125
397152,0.0010645475704222918,4121,1846.8799849299999,1593702,504,788.0,96,0.00642913393676281,-232.83935546875
400304,0.0010614015627652407,4152,1847.5964542500003,1600006,508,788.0,96,0.005677022505551577,-235.11148071289062
403456,0.0010498985648155212,4183,1848.29772115,1606310,512,788.0,96,0.006663465406745672,-236.03228759765625
406608,0.00106483802665025,4214,1849.1589100099998,1612614,516,788.0,96,0.004979409277439117,-235.29360961914062
409760,0.0010614455677568913,4245,1849.7073270800001,1618918,520,788.0,96,0.005454160738736391,-236.14382934570312
412912,0.001142980414442718,4276,1850.0362699199998,1625222,524,788.0,96,0.011768587864935398,-235.2239532470703
416064,0.001115057268179953,4307,1849.80969857,1631526,528,788.0,96,0.008819077163934708,-234.4423065185547
419216,0.0010786853963509202,4338,1849.9376125,1637830,532,788.0,96,0.011333977803587914,-235.57154846191406
422368,0.0010797228896990418,4370,1849.98456812,1644134,536,788.0,96,0.010100950486958027,-235.28704833984375
425520,0.0010641943663358688,4401,1850.1945392500002,1650438,540,788.0,96,0.006632574368268251,-235.89230346679688
428672,0.0010912715224549174,4433,1850.55753126,1656742,544,788.0,96,0.01181446947157383,-235.7347412109375
431824,0.0010750606888905168,4465,1850.78697231,1663046,548,788.0,96,0.0109256561845541,-235.3812255859375
434976,0.0010657967068254948,4497,1850.9041947300002,1669350,552,788.0,96,0.006251971237361431,-235.9421844482422
438128,0.00106611882802099,4530,1851.37460521,1675654,556,788.0,96,0.006529662292450666,-235.4303436279297
441280,0.001050572725944221,4561,1851.90225906,1681958,560,788.0,96,0.005715575069189072,-235.60911560058594
444432,0.0010781994787976146,4593,1852.50129164,1688262,564,788.0,96,0.00554983876645565,-236.3194580078125
447584,0.0010563962860032916,4625,1852.8923613999996,1694566,568,788.0,96,0.005864267703145742,-236.80181884765625
450736,0.0010599540546536446,4656,1853.39583745,1700870,572,788.0,96,0.004932680632919073,-236.35009765625
453888,0.0010614946950227022,4689,1854.0007270199997,1707174,576,788.0,96,0.0066051664762198925,-235.75814819335938
457040,0.0010589482262730598,4721,1854.4784745399995,1713478,580,788.0,96,0.005709972232580185,-235.37693786621094
460192,0.0010873919818550348,4752,1854.9247495900001,1719782,584,788.0,96,0.007396391127258539,-235.25257873535156
463344,0.0010732111986726522,4783,1855.6936635399998,1726086,588,788.0,96,0.0067190853878855705,-236.21322631835938
466496,0.0010705211898311973,4814,1856.44415133,1732390,592,788.0,96,0.005863001104444265,-237.05859375
469648,0.0010731542715802789,4845,1857.1457219999993,1738694,596,788.0,96,0.008773376233875751,-234.708740234375
472800,0.0010783295147120953,4876,1857.6552279099997,1744998,600,788.0,96,0.005440933629870415,-235.3125762939453
475952,0.0010602104011923075,4907,1858.05570993,1751302,604,788.0,96,0.005701454356312752,-235.88262939453125
479104,0.0010698389960452914,4939,1858.5775835199997,1757606,608,788.0,96,0.005961549933999777,-235.15225219726562
482256,0.0010676566744223237,4971,1859.0785680499998,1763910,612,788.0,97,0.007777130231261253,-235.7849884033203
485408,0.0010624107671901584,5003,1859.55194383,1770214,616,788.0,97,0.006491668056696653,-235.0676727294922
488560,0.0011837934143841267,5036,1859.7332344400004,1776518,620,788.0,97,0.00835003424435854,-236.52154541015625
491712,0.0011166363256052136,5067,1858.7522695799998,1782822,624,788.0,97,0.010240583680570126,-235.61605834960938
494864,0.0010951498989015818,5099,1859.3591649900002,1789126,628,788.0,97,0.007390514947474003,-238.42495727539062
498016,0.0010642562992870808,5130,1859.8298539900002,1795430,632,788.0,97,0.00701821967959404,-236.5626678466797
501168,0.0011258451268076897,5162,1859.9179140599997,1801734,636,788.0,97,0.0061773089691996574,-236.5944061279297
504320,0.0011469527380540967,5192,1859.9109787299997,1808038,640,788.0,97,0.012797323986887932,-235.60743713378906
507472,0.0010523370001465082,5223,1859.5665085199998,1814342,644,788.0,97,0.007899928838014603,-236.7486114501953
510624,0.0010909255361184478,5255,1859.73312765,1820646,648,788.0,97,0.007029240019619465,-236.27734375
513776,0.0010845360811799765,5286,1859.9335143800001,1826950,652,788.0,97,0.006224827840924263,-237.95799255371094
516928,0.0010666156886145473,5317,1860.1133738800004,1833254,656,788.0,97,0.005542630795389414,-239.27886962890625
520080,0.0010648902971297503,5348,1860.37603697,1839558,660,788.0,97,0.005666729994118214,-238.99581909179688
523232,0.0010536424815654755,5380,1860.8016362,1845862,664,788.0,97,0.005174094811081886,-238.8746337890625
526384,0.0010569747537374496,5411,1861.1537301299998,1852166,668,788.0,97,0.0057005020789802074,-238.41403198242188
529536,0.0010520238429307938,5442,1861.7058173100002,1858470,672,788.0,97,0.005076113622635603,-237.26754760742188
532688,0.0010563584510236979,5473,1862.0689142200001,1864774,676,788.0,97,0.005508800502866507,-238.61505126953125
535840,0.0010442526545375586,5504,1862.5247525400005,1871078,680,788.0,97,0.005307277198880911,-236.787353515625
538992,0.0010609866585582495,5535,1862.8310039600003,1877382,684,788.0,97,0.00867455918341875,-236.9272003173828
542144,0.0010561479721218348,5566,1863.2490928,1883686,688,788.0,97,0.006107847671955824,-237.69241333007812
545296,0.001044425880536437,5597,1863.8700633600001,1889990,692,788.0,97,0.005244961939752102,-236.400634765625
548448,0.0010502234799787402,5628,1864.2500944600001,1896294,696,788.0,97,0.00815638992935419,-238.35552978515625
551600,0.001042819581925869,5659,1864.7993093,1902598,700,788.0,97,0.005237908568233252,-237.3993682861328
554752,0.0010451951529830694,5690,1865.23280743,1908902,704,788.0,97,0.0045120869763195515,-238.05076599121094
557904,0.0010558967478573322,5721,1865.5885906600004,1915206,708,788.0,97,0.0058177681639790535,-237.5382080078125
561056,0.0010493029840290546,5752,1865.97520935,1921510,712,788.0,97,0.007587381638586521,-239.4628448486328
564208,0.0010451477719470859,5782,1866.3149556400003,1927814,716,788.0,97,0.0058748298324644566,-235.82119750976562
567360,0.0010532948654145002,5813,1867.0395183499998,1934118,720,788.0,97,0.004699460230767727,-238.26324462890625
570512,0.001044130651280284,5845,1869.1425341700003,1940422,724,788.0,97,0.006379527039825916,-237.51246643066406
573664,0.001056770677678287,5876,1870.2094955199998,1946726,728,788.0,97,0.005394967272877693,-238.04861450195312
576816,0.0010598378721624613,5907,1871.0793770199996,1953030,732,788.0,97,0.004604550544172525,-238.9955596923828
579968,0.001049612183123827,5939,1872.2164281800005,1959334,736,788.0,97,0.006725935731083155,-238.17327880859375
583120,0.0011161013972014189,5970,1873.2674576000002,1965638,740,788.0,97,0.0066435616463422775,-238.7178955078125
586272,0.001064827898517251,6002,1874.3292884400005,1971942,744,788.0,97,0.005210542120039463,-237.98056030273438
589424,0.0011946042068302631,6033,1873.1887524700003,1978246,748,788.0,97,0.01241063978523016,-237.7506866455078
592576,0.001171792857348919,6064,1871.98475375,1984550,752,788.0,97,0.008069039322435856,-238.4185791015625
595728,0.0010819637682288885,6095,1871.4712320100004,1990854,756,788.0,97,0.008284702897071838,-237.21536254882812
598880,0.001091684796847403,6127,1870.7716525000003,1997158,760,788.0,97,0.006921915803104639,-241.28573608398438
