time/total_timesteps,train/actor_loss,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/time_elapsed,train/n_updates,train/ent_coef,rollout/ep_rew_mean
429760,-316.94354248046875,158.0,2720,99,0.013637329451739788,4318,859318,0.0014850806910544634,499.8313923200001
430392,-317.31036376953125,158.0,2724,99,0.015290469862520695,4324,860582,0.0014834217727184296,499.8742734700001
431024,-317.37823486328125,158.0,2728,99,0.018440494313836098,4331,861846,0.0014738356694579124,499.9023521000001
431656,-317.37060546875,158.0,2732,99,0.013762190006673336,4337,863110,0.0014820097712799907,499.94510164000013
432288,-316.91522216796875,158.0,2736,99,0.017548630014061928,4343,864374,0.0014892845647409558,500.01688799999994
432920,-317.01025390625,158.0,2740,99,0.013962741009891033,4349,865638,0.0014679826563224196,500.09676748
433552,-317.17205810546875,158.0,2744,99,0.019437003880739212,4356,866902,0.0014791907742619514,500.02796164
434184,-317.1085510253906,158.0,2748,99,0.017482871189713478,4362,868166,0.0014682249166071415,500.09788790000005
434816,-317.1365966796875,158.0,2752,99,0.016970492899417877,4369,869430,0.0014788833213970065,500.2209727300001
435448,-317.4754638671875,158.0,2756,99,0.02077045850455761,4375,870694,0.0014687668299302459,500.50682386
436080,-317.05157470703125,158.0,2760,99,0.01633545197546482,4382,871958,0.0014799605123698711,500.68359775000005
436712,-316.96429443359375,158.0,2764,99,0.013924634084105492,4388,873222,0.001484303385950625,500.77181499
437344,-317.150390625,158.0,2768,99,0.016728229820728302,4394,874486,0.0014802385121583939,500.7410213899999
437976,-317.0570373535156,158.0,2772,99,0.017629973590373993,4401,875750,0.0014566683676093817,500.8064340199999
438608,-317.2615966796875,158.0,2776,99,0.015178193338215351,4407,877014,0.001483485335484147,500.86309266000006
439240,-317.146484375,158.0,2780,99,0.013217815198004246,4414,878278,0.0014768789988011122,500.9597986199999
439872,-316.7227783203125,158.0,2784,99,0.018613295629620552,4420,879542,0.001481459359638393,500.98635726
440504,-317.4209899902344,158.0,2788,99,0.021144209429621696,4426,880806,0.0014973237412050366,501.08297287
441136,-317.3677062988281,158.0,2792,99,0.018682261928915977,4433,882070,0.0015107282670214772,501.08434371
441768,-317.6033020019531,158.0,2796,99,0.017765646800398827,4439,883334,0.001518815173767507,501.10552423
442400,-317.29388427734375,158.0,2800,99,0.02171945944428444,4445,884598,0.0014799407217651606,501.16356704
443032,-317.18304443359375,158.0,2804,99,0.01527167484164238,4452,885862,0.0014714895514771342,501.26640557999997
443664,-317.24249267578125,158.0,2808,99,0.018936796113848686,4458,887126,0.0014726681401953101,501.26279636
444296,-317.28094482421875,158.0,2812,99,0.017468765377998352,4464,888390,0.0014779146295040846,501.25736117999986
444928,-317.4398193359375,158.0,2816,99,0.019789258018136024,4471,889654,0.0014794926391914487,501.26144228
445560,-317.5566101074219,158.0,2820,99,0.017646942287683487,4477,890918,0.001482562511228025,501.3927243499999
446192,-317.40203857421875,158.0,2824,99,0.019108476117253304,4484,892182,0.0014868187718093395,501.5239604
446824,-317.44781494140625,158.0,2828,99,0.019213372841477394,4491,893446,0.0014853760367259383,501.5386604000001
447456,-317.6037902832031,158.0,2832,99,0.01937827467918396,4497,894710,0.0014852032763883471,501.5236885400001
448088,-317.31805419921875,158.0,2836,99,0.022915968671441078,4504,895974,0.001460233237594366,501.58961688999995
448720,-317.6920166015625,158.0,2840,99,0.02217910997569561,4510,897238,0.0014837435446679592,501.6428809000001
449352,-317.6590270996094,158.0,2844,99,0.01386116910725832,4516,898502,0.0014743629144504666,501.70500423
449984,-317.3001403808594,158.0,2848,99,0.01658918336033821,4523,899766,0.0014723549829795957,501.67173228
450616,-317.5395202636719,158.0,2852,99,0.022903449833393097,4529,901030,0.0014964821748435497,501.74556266
451248,-317.7489013671875,158.0,2856,99,0.02239329181611538,4535,902294,0.0015003904700279236,501.58745905
451880,-317.817138671875,158.0,2860,99,0.013743220828473568,4542,903558,0.0014796683099120855,501.3944703
452512,-317.47265625,158.0,2864,99,0.014022478833794594,4548,904822,0.0014644002076238394,501.40338601
453144,-317.4163818359375,158.0,2868,99,0.012979749590158463,4555,906086,0.0014727467205375433,501.54036148000006
453776,-317.7497863769531,158.0,2872,99,0.016363268718123436,4561,907350,0.001460900530219078,501.53656486
454408,-317.66064453125,158.0,2876,99,0.015199540182948112,4568,908614,0.0014474795898422599,501.5318420499999
455040,-317.7398681640625,158.0,2880,99,0.014040776528418064,4574,909878,0.0014368968550115824,501.58572394000004
455672,-317.51953125,158.0,2884,99,0.014435184188187122,4581,911142,0.0014419835060834885,501.71635198
456304,-317.6772766113281,158.0,2888,99,0.012450829148292542,4587,912406,0.001446865382604301,501.67120726
456936,-317.6837158203125,158.0,2892,99,0.017383679747581482,4594,913670,0.001452628057450056,501.6729080999999
457568,-317.63494873046875,158.0,2896,99,0.0169251449406147,4600,914934,0.0014456131029874086,501.77948635000007
458200,-317.6332092285156,158.0,2900,99,0.013660602271556854,4607,916198,0.0014345856616273522,501.82071721999995
