train/n_updates,train/critic_loss,time/episodes,train/actor_loss,time/fps,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
1134518,0.013071069493889809,720,-244.58486938476562,99,0.0013728262856602669,567360,1898.4581161399997,5683,788.0
1140822,0.014964548870921135,724,-246.42942810058594,99,0.0013745416654273868,570512,1899.0728619100003,5714,788.0
1147126,0.013147009536623955,728,-245.507568359375,99,0.0013862052001059055,573664,1899.6093806899999,5744,788.0
1153430,0.016830364242196083,732,-245.04965209960938,99,0.0013792269164696336,576816,1900.7457846199998,5776,788.0
1159734,0.012580140493810177,736,-246.4542236328125,99,0.001388052012771368,579968,1901.2332423999999,5808,788.0
1166038,0.015494149178266525,740,-246.47308349609375,99,0.0013965738471597433,583120,1901.62313641,5840,788.0
1172342,0.012226019985973835,744,-242.5190887451172,99,0.0013749718200415373,586272,1902.0058414499995,5871,788.0
1178646,0.011674132198095322,748,-245.030517578125,99,0.0013901026686653495,589424,1902.8235245199999,5904,788.0
1184950,0.013306846842169762,752,-244.81939697265625,99,0.00137712387368083,592576,1903.4037087499999,5936,788.0
1191254,0.010267780162394047,756,-245.60784912109375,99,0.0013667531311511993,595728,1904.1733086499999,5967,788.0
1197558,0.013377765193581581,760,-246.98220825195312,99,0.001369757461361587,598880,1905.38392677,5999,788.0
1203862,0.011555898934602737,764,-245.68820190429688,99,0.0013716575922444463,602032,1909.1634973300002,6030,788.0
1210166,0.012483644299209118,768,-247.35784912109375,99,0.00137845310382545,605184,1914.0468760799997,6062,788.0
1216470,0.011493412777781487,772,-246.12527465820312,99,0.0013818093575537205,608336,1918.1130630099997,6093,788.0
1222774,0.011013657785952091,776,-246.1246795654297,99,0.0013783202739432454,611488,1921.01554701,6124,788.0
1229078,0.014102526009082794,780,-244.570068359375,99,0.0013661881675943732,614640,1923.1831032199998,6156,788.0
1235382,0.010735644958913326,784,-247.16134643554688,99,0.001382341142743826,617792,1924.8233150400001,6187,788.0
1241686,0.012753231450915337,788,-246.48501586914062,99,0.0013776480918750167,620944,1926.4768324200004,6218,788.0
1247990,0.01529916562139988,792,-246.2611846923828,99,0.0013872042763978243,624096,1928.06429999,6250,788.0
1254294,0.011716288514435291,796,-246.70074462890625,99,0.0013741374714300036,627248,1929.34299773,6281,788.0
1260598,0.011729255318641663,800,-247.16632080078125,99,0.001369113684631884,630400,1930.5281014100003,6312,788.0
1266902,0.012332623824477196,804,-247.42803955078125,99,0.0013755050022155046,633552,1931.7117159900001,6343,788.0
