time/episodes,train/n_updates,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/actor_loss,rollout/ep_len_mean,train/critic_loss
956,286598,143400,0.0018239771015942097,482.49814334,1451,98,-335.4476013183594,150.0,0.035020843148231506
960,287798,144000,0.0018486129119992256,482.44177168000004,1457,98,-335.1574401855469,150.0,0.03340430185198784
964,288998,144600,0.001822903286665678,482.57537462000005,1463,98,-335.26953125,150.0,0.03319982811808586
968,290198,145200,0.001822025515139103,482.7932546399999,1469,98,-335.10076904296875,150.0,0.03451583907008171
972,291398,145800,0.0018023101147264242,483.05249620999996,1475,98,-334.6658935546875,150.0,0.036563411355018616
976,292598,146400,0.0018080705776810646,483.47897483,1481,98,-335.1014709472656,150.0,0.04019400104880333
980,293798,147000,0.0017995527014136314,483.84831079,1487,98,-335.0644836425781,150.0,0.04383834823966026
984,294998,147600,0.0018066209740936756,484.33148252,1493,98,-335.15753173828125,150.0,0.03858019784092903
988,296198,148200,0.0017808948177844286,484.88277136000005,1500,98,-335.29461669921875,150.0,0.03970504179596901
992,297398,148800,0.0018063737079501152,485.42636649,1506,98,-334.9734802246094,150.0,0.03862594813108444
996,298598,149400,0.001829576212912798,485.82160911000005,1512,98,-335.59619140625,150.0,0.037967078387737274
1000,299798,150000,0.0018253274029120803,486.02448195000005,1518,98,-335.4801025390625,150.0,0.03453560546040535
1004,300998,150600,0.0018028182676061988,486.31507033,1524,98,-335.941650390625,150.0,0.03655814751982689
1008,302198,151200,0.0017934321658685803,486.6281343,1530,98,-335.3572998046875,150.0,0.045267052948474884
1012,303398,151800,0.0018080876907333732,486.8215864200001,1536,98,-335.5875244140625,150.0,0.03725246712565422
1016,304598,152400,0.001794016221538186,486.75435109000006,1542,98,-335.35955810546875,150.0,0.04242117330431938
1020,305798,153000,0.0017804609378799796,486.78262737999995,1548,98,-335.600341796875,150.0,0.0390501394867897
1024,306998,153600,0.001806807005777955,487.02610416000005,1554,98,-335.5391540527344,150.0,0.04258382320404053
1028,308198,154200,0.0017962469719350338,487.39467003,1560,98,-335.5848693847656,150.0,0.03926684334874153
1032,309398,154800,0.001816797535866499,487.65050465,1566,98,-335.5112609863281,150.0,0.04638059064745903
1036,310598,155400,0.001804595929570496,487.7537985799999,1572,98,-335.8274841308594,150.0,0.036347970366477966
1040,311798,156000,0.001806911313906312,488.1846603999999,1578,98,-335.7386474609375,150.0,0.041020236909389496
1044,312998,156600,0.0017964327707886696,488.49615165999995,1585,98,-335.863525390625,150.0,0.038167428225278854
1048,314198,157200,0.0017946211155503988,488.0833948599999,1591,98,-336.15179443359375,150.0,0.03727836534380913
1052,315398,157800,0.0017788680270314217,487.64919252,1597,98,-335.69482421875,150.0,0.041673868894577026
1056,316598,158400,0.0017867988208308816,487.62968220000005,1603,98,-335.8780517578125,150.0,0.03920421749353409
1060,317798,159000,0.0017804880626499653,487.94723603000006,1610,98,-336.41729736328125,150.0,0.04256416857242584
1064,318998,159600,0.0017723647179082036,488.04054892,1616,98,-336.2897644042969,150.0,0.03471047058701515
1068,320198,160200,0.001779888872988522,488.1295594400001,1622,98,-336.19744873046875,150.0,0.03573909401893616
