train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,train/actor_loss,train/ent_coef,rollout/ep_len_mean,time/episodes
1409198,444.64584061999994,98,3079,304800,0.034162525087594986,-303.49761962890625,0.002018517581745982,150.0,2032
1410398,444.9783162400001,98,3085,305400,0.029026197269558907,-303.2305603027344,0.0020493760239332914,150.0,2036
1411598,445.21593116,98,3091,306000,0.03169853612780571,-302.96942138671875,0.00202769273892045,150.0,2040
1412798,445.48650462000006,98,3097,306600,0.030444007366895676,-302.933349609375,0.00202737282961607,150.0,2044
1413998,445.74878584000004,98,3103,307200,0.033051952719688416,-303.7984924316406,0.00204084231518209,150.0,2048
1415198,446.23473569999993,98,3109,307800,0.032700248062610626,-303.734375,0.0020280552562326193,150.0,2052
1416398,446.70074181999996,98,3115,308400,0.031144428998231888,-303.0333251953125,0.0020436118356883526,150.0,2056
1417598,446.7712631499999,98,3121,309000,0.026219801977276802,-303.3251647949219,0.002015503589063883,150.0,2060
1418798,447.08474534999993,98,3127,309600,0.02794596552848816,-304.172119140625,0.0020348583348095417,150.0,2064
1419998,447.23241269,98,3133,310200,0.030848683789372444,-303.7561950683594,0.0020134584046900272,150.0,2068
1421198,447.50623558,98,3139,310800,0.02921416237950325,-304.01922607421875,0.0020048972219228745,150.0,2072
1422398,447.74409014,98,3145,311400,0.03245588392019272,-303.8768310546875,0.0020238773431628942,150.0,2076
1423598,448.01290476,98,3151,312000,0.030630357563495636,-303.80413818359375,0.0020500016398727894,150.0,2080
1424798,447.9446575699999,98,3158,312600,0.031255435198545456,-303.972900390625,0.002028148155659437,150.0,2084
1425998,447.92730043000006,98,3164,313200,0.029766833409667015,-304.74249267578125,0.0020193089731037617,150.0,2088
1427198,447.92260948,98,3170,313800,0.026715775951743126,-304.2813720703125,0.002026252681389451,150.0,2092
1428398,447.99225382,98,3176,314400,0.029974844306707382,-303.54443359375,0.0020318159367889166,150.0,2096
1429598,448.08954364,98,3182,315000,0.030549177899956703,-304.81182861328125,0.002034815726801753,150.0,2100
1430798,448.86895657,98,3188,315600,0.0307663232088089,-304.52838134765625,0.0020226461347192526,150.0,2104
1431998,449.52619605,98,3195,316200,0.02788585238158703,-304.7828369140625,0.002029069233685732,150.0,2108
1433198,449.50854578999997,98,3201,316800,0.03127515688538551,-304.87432861328125,0.0020597667898982763,150.0,2112
1434398,449.65670356999993,98,3207,317400,0.026631029322743416,-304.8695983886719,0.0020509217865765095,150.0,2116
1435598,449.7299278100001,98,3213,318000,0.028485821560025215,-304.61944580078125,0.0020418011117726564,150.0,2120
1436798,450.00414730999995,98,3219,318600,0.03347047418355942,-305.50341796875,0.002017831429839134,150.0,2124
1437998,450.23984343999996,98,3225,319200,0.03075925074517727,-305.2659606933594,0.0020225457847118378,150.0,2128
1439198,450.2728430000001,98,3231,319800,0.030247701331973076,-305.63677978515625,0.0020341628696769476,150.0,2132
1440398,450.5181864,98,3238,320400,0.03174443170428276,-304.92791748046875,0.0020271630492061377,150.0,2136
1441598,450.71243318999996,98,3244,321000,0.03372196853160858,-305.9312438964844,0.002037614118307829,150.0,2140
1442798,450.6881255999999,98,3250,321600,0.03962301090359688,-305.303466796875,0.0020297523587942123,150.0,2144
1443998,450.96753133999994,98,3256,322200,0.022294849157333374,-304.803955078125,0.0020642345771193504,150.0,2148
1445198,451.0498344599999,98,3262,322800,0.030570439994335175,-305.61260986328125,0.0020605733152478933,150.0,2152
1446398,451.10082515999994,98,3268,323400,0.02759763039648533,-306.0224609375,0.002047840505838394,150.0,2156
1447598,451.0899858000001,98,3274,324000,0.030776692554354668,-305.53076171875,0.0020334268920123577,150.0,2160
1448798,451.11848840000005,98,3280,324600,0.026028059422969818,-306.0283203125,0.002043765736743808,150.0,2164
1449998,451.19705859999993,98,3287,325200,0.031740132719278336,-306.2084045410156,0.0020333684515208006,150.0,2168
1451198,451.0849400899999,98,3293,325800,0.030904479324817657,-305.78045654296875,0.0020221301820129156,150.0,2172
